Issue Number,Title,State,Comments,Created At,Closed At
6083,[ENH] __Pyx_PyDict_Pack function (for code size)?,open,0,2024-03-16,N/A
6082,Limited API preview branch,open,6,2024-03-16,N/A
6081,[BUG] segfault when raising an exception with python 3.13 alpha 5,closed,2,2024-03-16,2024-03-16
6080,Fix toctree warnings,closed,0,2024-03-15,2024-03-16
6079,Fix warnings for docs during build procedure,closed,9,2024-03-15,2024-03-16
6078,[BUG] `int` power of an `int` results a `float` when computed inside a list comprehension,open,1,2024-03-15,N/A
6077,Reserve vector memory upfront,closed,17,2024-03-15,2024-03-23
6076,make tests run on numpy1.x and numpy2.x,closed,9,2024-03-14,2024-03-18
6075,improve test coverage of numpy_math.pyx,open,0,2024-03-14,N/A
6074,enabled the cache-like feature to cyton.py,closed,6,2024-03-14,2024-03-18
6073,Accelerate divmod() in Cython by calling C div() for C int type integers,closed,6,2024-03-14,2024-05-05
6072,[BUG] Test failures with NumPy 2.0b1,closed,0,2024-03-13,2024-03-18
6071,A number of warning messages during docs make build procedure,closed,6,2024-03-13,2024-03-13
6070,Document compilation caching?,closed,10,2024-03-12,2024-04-04
6069,[BUG] `TypeError` when using type annotations in signatures with defaults,closed,4,2024-03-12,2024-03-12
6068,"[BUG] Compiler crash using ufunc with multiple, fused return types",open,1,2024-03-11,N/A
6067,[BUG] Can not do logic with `char *` ?,closed,2,2024-03-10,2024-03-10
6066,[BUG] Regression in cython 3.0.9,closed,3,2024-03-10,2024-03-10
6065,"Make UtilityCode.__eq__ account for ""init"" section",closed,3,2024-03-09,2024-03-09
6064,[BUG] Access violation using cython.ufunc with cimport numpy,closed,3,2024-03-07,2024-03-09
6063,Use `Py_IncRef()` and `Py_DecRef()` in Limited API,open,1,2024-03-07,N/A
6062,PyUnicode_AsUnicode missing Error with Python 3.12 on Windows,closed,5,2024-03-06,2024-03-14
6061,Add some more limited API support,closed,16,2024-03-06,2024-04-07
6060,pyupgrade: Update codebase to Python 3 syntax and features,open,0,2024-03-05,N/A
6059,Migrating notes on Cython wrappers from SciPy wiki,open,0,2024-03-05,N/A
6058,[ENH] Conditional Compilation,closed,2,2024-03-04,2024-03-04
6057,"Avoid ""unused argument"" warning on Py3.7",closed,0,2024-03-04,2024-03-04
6056,[BUG] Enabling limited API attempts to take the size of an opaque object,closed,11,2024-03-03,2024-03-04
6055,Reduce the overhead of creating the function code objects at module init time,closed,6,2024-03-03,2024-03-06
6054,Avoid unpacking method calls at class scope,closed,0,2024-03-03,2024-03-07
6053,Create code object tab as module global with indices,closed,3,2024-03-03,2024-03-03
6052,[BUG] Complex function argument lists causing MSVC to fail,closed,10,2024-03-02,2024-03-28
6051,[BUG] cimporting from a pxd with memoryviews injects memoryview utility code,open,0,2024-03-02,N/A
6050,Add note about docstring to 'How do I reduce the size of the binary modules' faq,closed,2,2024-03-01,2024-03-02
6049,Remove apparently unused CodeObjectCache utility code,closed,1,2024-02-29,2024-02-29
6048,Declare tuple/slice/other constants in arrays,closed,2,2024-02-29,2024-03-03
6047,Mention `binding` in the size faq,closed,0,2024-02-29,2024-03-01
6046,Add code object to LambdaNode; fix for gen. expr.,closed,4,2024-02-29,2024-05-03
6045,[ENH] Reduce the code size of the memory view implementation,open,2,2024-02-29,N/A
